Minisector,BOT,STR,Fastest
0,294.47120314687675,295.861131734166,STR
1,206.40971223533862,196.46554504987066,BOT
2,233.28909115347557,225.83730021514904,BOT
3,275.60173483689704,268.9980158984127,BOT
4,234.45084369038136,230.3679703730838,BOT
5,126.99681048262404,126.4416885147589,BOT
6,217.0109480105721,210.94451392569943,BOT
7,264.71896644401414,255.30936038919572,BOT
8,216.44706283366594,206.5181375457544,BOT
9,208.96900222168662,206.86827029568516,BOT
10,266.14218494960716,262.36275917996505,BOT
11,210.48639129273138,208.8174153300501,BOT
12,180.20842886928725,176.06616766078605,BOT
13,263.8660922284017,259.82291829069834,BOT
14,284.2664471578948,281.1016058115869,BOT
15,266.6450798252176,256.5141928296034,BOT
16,245.38603992032998,241.62819246871786,BOT
17,276.1851707407142,273.2245358945099,BOT
18,289.4828792523506,280.0753400453515,BOT
19,182.14878033928554,171.02623531012392,BOT
20,217.85524958708558,211.31181911250673,BOT
21,169.89470264166687,173.28555530234848,STR
22,147.36639134924354,142.71234631988673,BOT
23,243.55691807681993,237.55133883669143,BOT
24,281.9280040720355,280.36496637861865,BOT
25,290.83084508046807,290.5583328,BOT
