Minisector,HAM,OCO,Fastest
0,299.1199349989326,290.74730835333503,HAM
1,157.76794806908887,163.98589312178245,OCO
2,168.5277662607423,170.62114317820004,OCO
3,254.80479386196592,251.9112132040917,HAM
4,291.36668866680986,283.0496469181103,HAM
5,254.77010897015873,241.58923437249496,HAM
6,223.5875817027417,225.26632452586972,OCO
7,147.48410419255208,149.84889908760962,OCO
8,227.87134498489553,224.23771194485514,HAM
9,281.85694824704035,280.5285767975588,HAM
10,303.1314769108805,301.5119562187755,HAM
11,318.9677409669747,311.93828594619885,HAM
12,329.06488010857584,316.36425559673165,HAM
13,326.41113746269036,313.44321183492065,HAM
14,121.82595330072748,131.5354260731672,OCO
15,112.54321326018466,118.63257734076336,OCO
16,101.41633915813871,96.74961208210968,HAM
17,238.03510113431875,226.613288501887,HAM
18,287.8268052839506,283.56831587845807,HAM
19,313.99093591448747,308.7297199252457,HAM
20,330.7956947405752,319.3628607878079,HAM
21,332.3314177163636,322.70534500426487,HAM
22,123.15590290020626,121.99096732310306,HAM
23,200.870987649032,193.72110514782773,HAM
24,271.0140822472727,270.0884216745743,HAM
25,290.0285696,286.02569520000003,HAM
