Minisector,HAM,RIC,Fastest
0,317.2037499352381,318.83753837754847,RIC
1,323.55041664,326.5250000197531,RIC
2,325.7548245333333,321.6641516356525,HAM
3,173.57364994800514,174.32260051685972,RIC
4,140.19400462414194,136.1162229164021,HAM
5,270.85117226748736,269.7594737437399,HAM
6,298.4028143768522,300.49200719818595,RIC
7,309.88083322666665,307.6202082666667,HAM
8,261.88739051959413,250.72344928304764,HAM
9,163.580154059243,158.15365021676746,HAM
10,233.9430611569097,223.2029829530864,HAM
11,238.60569959267397,232.41761450812848,HAM
12,213.69454306933415,207.05698291237388,HAM
13,276.40731102709645,275.667614060606,HAM
14,303.83757152701014,306.65804756087033,RIC
15,316.98564361539565,315.07312496,HAM
16,266.9102912380952,251.45337494844378,HAM
17,228.29019317650273,216.70530209934984,HAM
18,281.74477854199137,278.44870637846793,HAM
19,307.22073657182113,308.27316120449245,RIC
20,318.1139582933333,316.0916071542857,HAM
21,303.22297000731277,290.045456630303,HAM
22,227.0838650473145,215.54136296970773,HAM
23,276.8112079070449,270.8246259094865,HAM
24,305.47192558701215,303.3657879147392,HAM
