Minisector,SAI,HUL,Fastest
0,247.15453861241258,247.59562375086077,HUL
1,286.8930103038233,285.7330722521212,SAI
2,166.4676790421469,178.2430277804277,HUL
3,159.45425995878787,160.97077972577728,HUL
4,255.46152237184265,259.4416705010563,HUL
5,275.1168933555748,276.2485321169474,HUL
6,234.17870463746033,237.12452336575262,HUL
7,208.69356090279544,209.95975845757374,HUL
8,162.79408145855288,158.5023350947153,SAI
9,215.34024954223997,211.00962301239744,SAI
10,271.9968517098901,271.8456297736989,SAI
11,128.85948813232952,131.68506212263887,HUL
12,216.36971739539146,205.6587456193633,SAI
13,275.9495076774603,273.16580344086884,SAI
14,299.8897729015208,297.025411330954,SAI
15,312.99380770652556,305.9594274312673,SAI
16,244.99799601730106,261.31615358311865,HUL
17,129.37501696720247,125.80969747246502,SAI
18,132.11086870278956,126.87270355794948,SAI
19,120.82304190717315,123.35177293331138,HUL
20,228.35134019425982,219.67439106434225,SAI
21,255.60452180395603,259.76011102836395,HUL
22,244.71109424513332,254.64724165808315,HUL
23,219.1209002454422,218.16670051169524,SAI
24,139.43052260592336,139.12678781641355,SAI
25,219.8,209.51430812444445,SAI
