Minisector,RUS,STR,Fastest
0,283.81345132279574,279.4016809534923,RUS
1,300.19490638080475,297.0270973659344,RUS
2,231.23610829357906,233.52108045206347,STR
3,114.69347532629058,119.76315061967543,STR
4,136.6114889192728,133.32308515255613,RUS
5,256.4078679749404,248.46314213486554,RUS
6,259.5676238095238,257.7950464710524,RUS
7,124.46863529788385,124.51684700311479,STR
8,249.32808221223888,244.0933496176722,RUS
9,250.51387967717943,239.25313985743585,RUS
10,209.97873372447137,201.92201910795907,RUS
11,144.3816607106441,146.5291424027781,STR
12,217.57018269333332,207.39566195137064,RUS
13,265.1042380496296,259.5115352416031,RUS
14,119.62035244760352,116.1259579586198,RUS
15,192.5890682416194,192.8230976872673,STR
16,263.5430722074074,261.27855842888886,RUS
17,292.890684823716,293.5873647186147,STR
18,306.99043859649123,309.92948524668265,STR
19,312.58514829712084,323.9207570309467,STR
20,316.35552631578946,332.7889880952381,STR
21,181.17451804674425,152.0710667091533,RUS
22,146.82928231041845,163.09822372636378,STR
23,212.19237151890812,200.8853528911565,RUS
24,239.45438442016507,240.3022272041189,STR
25,272.2142857142857,,RUS
