Minisector,PER,GAS,Fastest
0,304.5251009197848,296.74566619887634,PER
1,238.783278799552,241.05564304203173,GAS
2,126.96122338500594,128.94811155223158,GAS
3,242.3046287664261,243.83793788678759,GAS
4,189.87999180268963,191.0077345887125,GAS
5,248.10733536234346,241.7784168491413,PER
6,233.82120216997427,226.63927732684442,PER
7,257.9067521220838,248.19756969086419,PER
8,291.26323010077925,282.79098233318683,PER
9,199.3206198723986,213.54798985770307,GAS
10,199.22454689023857,199.15759459549722,PER
11,272.0243614371848,268.57627370442935,PER
12,211.29900116813852,214.63865150152313,GAS
13,250.12624828472482,244.74025205214556,PER
14,290.75981573333337,286.9871850958684,PER
15,307.4681968181521,302.0258928571429,PER
16,309.1143442144108,298.64975248850243,PER
17,212.86931547649968,213.8295096419113,GAS
18,262.25817636200014,257.8819264014283,PER
19,295.11545596275135,291.71097979083567,PER
20,309.82688490522594,303.8609331546968,PER
21,312.2462794648196,301.179622117764,PER
22,154.75367087404277,154.56406922460658,PER
23,229.70396837315022,223.8115816488857,PER
24,286.9079881576434,282.66045509818184,PER
25,,295.2291669333333,GAS
