Minisector,HAM,ALO,Fastest
0,257.2236889371072,252.1867953643435,HAM
1,209.86730726007374,214.16069996744932,ALO
2,209.62164037825912,204.68523235178128,HAM
3,257.55990673070306,260.12492657700653,ALO
4,270.4795400156136,274.73984689132124,ALO
5,289.60453882962406,291.11460237799156,ALO
6,167.94760553033365,163.44222571199637,HAM
7,187.52726626725328,179.33128504399218,HAM
8,268.3444951776439,265.741633892987,HAM
9,294.92714277128965,291.2595865464082,HAM
10,306.3694978079863,302.85932109594177,HAM
11,307.32139562843514,304.92159539578546,HAM
12,117.12863188895501,114.10493509650529,HAM
13,188.3842693018951,184.34767132938563,HAM
14,271.046427950007,269.57824125428033,HAM
15,296.41656511184533,295.08169468575653,HAM
16,303.579934571813,302.15725433347706,HAM
17,190.15139561686047,184.7883432268495,HAM
18,222.6534680041274,219.27605827933377,HAM
19,270.73464635604813,260.97742760333955,HAM
20,155.16510359401067,152.70556153009852,HAM
21,148.0823856045632,146.70710143057255,HAM
22,223.08130583341847,219.57531764126443,HAM
23,227.80223897949875,231.43491153790157,ALO
24,161.15572814798037,162.32548167583687,ALO
25,228.60416533333336,,HAM
