Minisector,ANT,RUS,Fastest
0,320.17039247686273,317.4884799340606,ANT
1,323.9419358127242,323.44306045238096,ANT
2,161.66640293208158,161.95622571049597,RUS
3,159.3477954855914,155.53133472499178,ANT
4,194.22609011343448,200.33465618557483,RUS
5,149.63467008977483,150.76395642971428,RUS
6,206.2544232442081,201.11267230911568,ANT
7,272.2895687169925,272.5120345537255,RUS
8,289.70368407578945,291.76935216592597,RUS
9,278.7137072643386,280.29668304190477,RUS
10,237.6182143674459,229.5178835817143,ANT
11,247.2904793457733,232.46079496821082,ANT
12,225.8861210427211,216.11213653024154,ANT
13,185.74964730166656,174.94480754135418,ANT
14,138.70634719798144,134.8081169274074,ANT
15,133.41608617363485,131.8246996236229,ANT
16,197.29916379171726,197.790764941695,RUS
17,269.4371289502786,269.15976771361346,ANT
18,198.93589049263156,191.98201449426128,ANT
19,110.09296360173407,114.91036013745403,RUS
20,206.67161573714284,205.9157378632804,ANT
21,183.42452413714287,186.66914149436624,RUS
22,245.73947459368424,245.19914958909808,ANT
23,278.96621904792937,276.26062989906995,ANT
24,310.16656978225956,304.8640186704762,ANT
25,323.76500096,,ANT
