Minisector,SAI,NOR,Fastest
0,229.1635366421578,231.86819968288827,NOR
1,275.9630004906667,279.0918418872688,NOR
2,288.81529487893386,292.14883446349205,NOR
3,293.9431819082251,296.7467391536232,NOR
4,264.9101764766338,260.0379017124134,SAI
5,162.06999251215282,165.9262899809524,NOR
6,255.15611252483401,259.6824345374851,NOR
7,270.13121690299823,273.27366660266665,NOR
8,212.4943962532213,208.63652788937316,SAI
9,215.30381957174117,221.0730972375167,NOR
10,179.0255325811966,178.24082190304307,SAI
11,220.8711698933155,229.26856781688042,NOR
12,203.68315075409515,204.04277057254902,NOR
13,216.74639062235835,210.87511722587007,SAI
14,222.6770623641207,227.39237857733443,NOR
15,174.74262648888887,174.3572610984574,SAI
16,240.78435893578413,258.3905398982897,NOR
17,276.5955480015238,299.51489840918043,NOR
18,287.52883031718426,308.3214283925466,NOR
19,281.21047476419045,288.33136370591416,NOR
20,129.97738987645675,131.3871125686691,NOR
21,162.90177650817841,155.23303511393337,SAI
22,151.54559111885726,164.49902520325276,NOR
23,201.6265467019567,194.97323501079578,SAI
24,145.82099657797957,149.4704956354417,NOR
25,180.46666666666667,,SAI
