Minisector,RIC,RAI,Fastest
0,280.5654419974455,269.84850613005887,RIC
1,296.32293075839436,285.64557402495535,RIC
2,290.4524997184107,276.3785173135762,RIC
3,175.33583877773626,176.5316322234857,RAI
4,127.58713310173503,130.44654163836734,RAI
5,244.49395453910546,240.4025049145421,RIC
6,295.5614353605707,278.5520415152221,RIC
7,298.13920794024835,285.64281445535715,RIC
8,169.09277674896893,178.1702934265949,RAI
9,147.58073349672318,147.8875641403458,RAI
10,257.0943374876318,251.30023845712319,RIC
11,290.09452951747875,280.4557019700102,RIC
12,294.9447452331349,290.32746217835495,RIC
13,281.5078565577618,286.2450293705669,RAI
14,302.0253304173418,294.28739925611467,RIC
15,303.3247426636298,289.9473849962093,RIC
16,251.10250119493477,256.8934607963763,RAI
17,231.26347415273358,233.84473621396103,RAI
18,291.7868226934415,278.67986856938006,RIC
19,321.3155398228479,297.5616288872727,RIC
20,324.8928966955153,303.6926244417333,RIC
21,205.67194095896767,236.31084585731674,RAI
22,254.89532694722743,255.2159276481884,RAI
23,139.05528031824514,143.05104826392918,RAI
24,220.45834806956057,220.61469475803833,RAI
25,263.22500053333334,258.27800728059174,RIC
