Minisector,OCO,STR,Fastest
0,295.01819197142856,297.8149891590329,STR
1,304.60885888581004,306.8290818612245,STR
2,311.1141026461538,312.7625001025641,STR
3,309.5243525937871,313.6955782965987,STR
4,187.7041120132505,203.30725846511524,STR
5,97.55196274311024,94.57309253333334,OCO
6,199.3398124679833,196.36272777437037,OCO
7,253.76862775574227,254.901226227451,STR
8,280.2537740271524,282.708334,STR
9,288.34401073333333,286.5452504910441,OCO
10,149.75176778224858,149.54688795202821,OCO
11,173.70800119466665,166.9013466588268,OCO
12,235.42415341938073,239.99019708235295,STR
13,241.3289855118753,242.93200883809524,STR
14,154.36999206042694,147.95256699697023,OCO
15,209.8357757652489,208.89127156825396,OCO
16,259.1399517605698,259.7817469561905,STR
17,280.8066669511111,282.2589367511235,STR
18,293.6049633870252,295.64920663365075,STR
19,301.8925015807789,299.6997221688889,OCO
20,279.69408146666666,284.95838081652346,STR
21,146.0943174024526,148.0719996125041,STR
22,204.76390775440578,204.20541888,OCO
23,257.17489576694675,257.7928615093756,STR
24,280.756750231735,284.7636120888889,STR
