Minisector,BOT,ALO,Fastest
0,297.6987472935759,299.52328707261836,ALO
1,235.22953968367474,238.0265144577573,ALO
2,192.52169388979684,196.53617646867673,ALO
3,263.411512962224,264.4246260825397,ALO
4,228.1855638549856,225.48455029978953,BOT
5,114.03215212444061,110.11583959917385,BOT
6,174.3238214423572,172.95846680857125,BOT
7,257.05491127619047,253.19856434022986,BOT
8,287.6936903375238,281.2247204504203,BOT
9,304.2696447923716,297.094000128,BOT
10,304.05036243478264,300.4279513777778,BOT
11,240.79475908862295,229.82495221113834,BOT
12,147.51985571726837,147.32625817388558,BOT
13,253.32884947356897,255.13213701105087,ALO
14,290.05270951504036,286.69424406391846,BOT
15,300.371395513983,296.2683333546667,BOT
16,288.30802384457144,291.3531870256839,ALO
17,246.63180155570237,251.00735875555557,ALO
18,174.52276612816382,175.0348306133153,ALO
19,179.36998755668765,177.99991111042388,BOT
20,172.54490567355515,174.2607017714286,ALO
21,236.02773238436097,240.87654583192042,ALO
22,121.06097097193575,119.06155459626835,BOT
23,201.88948392880124,197.9489197619697,BOT
24,281.8097119348741,279.9050319464367,BOT
25,297.5916650666667,,BOT
