Minisector,ALO,NOR,Fastest
0,300.34304649059743,301.09382216756654,NOR
1,162.03256407871646,153.86949530658285,ALO
2,158.93228480597426,152.01265705642695,ALO
3,230.2731472807619,220.31732804532035,ALO
4,288.7002320267054,283.66102625545074,ALO
5,291.3940707790174,290.2628001169231,ALO
6,144.63442352511518,154.66895484582946,NOR
7,147.0184772564519,138.67018266995595,ALO
8,135.68045711978763,154.52134933496183,NOR
9,186.85174400846668,154.8122773755408,ALO
10,124.44272902090515,134.13798588807225,NOR
11,125.9412727242465,134.5127055815214,NOR
12,174.4695499275759,140.41395080835036,ALO
13,268.6046760808103,258.39476531209567,ALO
14,294.65746034427934,288.15134510039525,ALO
15,150.39341819469888,158.64765460702665,NOR
16,222.0984896196808,211.8438564338507,ALO
17,184.2733372106578,153.2131985640662,ALO
18,274.05283111253425,261.506945299502,ALO
19,298.6473530729412,293.0225730776606,ALO
20,312.30968167183676,307.3695375170909,ALO
21,321.512156227391,314.88946066866214,ALO
22,326.0190478019048,319.8483035977143,ALO
23,328.88120304601506,322.640145772091,ALO
24,329.3965311020096,322.4792048027119,ALO
25,,318.73566427936504,NOR
