Minisector,BOT,RAI,Fastest
0,275.71625026545854,269.84850613005887,BOT
1,288.6974303825123,285.64557402495535,BOT
2,288.5151620029283,276.3785173135762,BOT
3,183.58537151826408,176.5316322234857,BOT
4,138.81535320837335,130.44654163836734,BOT
5,244.5397075942721,240.4025049145421,BOT
6,282.606285624788,278.5520415152221,BOT
7,293.57367156567926,285.64281445535715,BOT
8,191.6559800079815,177.21974495560585,BOT
9,154.90396246326546,148.00393471511595,BOT
10,254.84580071460948,251.30023845712319,BOT
11,284.25519376008657,280.4557019700102,BOT
12,294.0973015890966,290.32746217835495,BOT
13,289.0307594020967,286.2450293705669,BOT
14,299.3324386736091,294.28739925611467,BOT
15,297.4203868473116,289.48828022885544,BOT
16,264.29447770077894,254.25163926385426,BOT
17,241.83076652335546,234.65094405808773,BOT
18,282.63835490742605,278.67986856938006,BOT
19,299.964963082036,297.5616288872727,BOT
20,306.87043722151776,303.6926244417333,BOT
21,253.25237165039286,236.31084585731674,BOT
22,267.3553685497707,255.2159276481884,BOT
23,140.50167038791304,143.63538107968662,RAI
24,225.51099242138702,222.4248496497979,BOT
25,,258.27800728059174,RAI
