Minisector,HAM,PER,Fastest
0,245.82190707837185,243.83464134133908,HAM
1,280.38888888888886,276.35126775652174,HAM
2,186.66390376230257,189.4589672008931,PER
3,158.7510204335601,151.50888887071469,HAM
4,259.3979295976884,257.77344579009815,HAM
5,265.68666666666667,269.099613030607,PER
6,222.77760746666667,220.04064581025216,HAM
7,203.30465684705882,201.3910832988015,HAM
8,152.9703787878788,151.93205492002042,HAM
9,209.60827691556415,207.86712172210335,HAM
10,269.1333333333333,271.96857080076194,PER
11,128.6091040213733,126.41065408645137,HAM
12,208.22836585540256,203.10767088442174,HAM
13,271.01914285714287,267.79499942399997,HAM
14,292.30605654819226,287.13066720309075,HAM
15,300.72234454717994,293.71041672727273,HAM
16,247.4896551724138,252.84850367781323,PER
17,138.38112447916774,135.010091462629,HAM
18,131.93311719209026,129.48482660883133,HAM
19,123.07596295824702,121.63811877281043,HAM
20,223.2394409414204,219.87736700824618,HAM
21,249.1635802469136,250.2663683972789,PER
22,240.8013380441843,240.4402780066571,HAM
23,222.32775855118467,218.46102128172043,HAM
24,140.67900643796855,139.26198745760874,HAM
25,213.79166933333335,212.84722097777777,HAM
