Minisector,SAI,STR,Fastest
0,299.1504408324208,284.5735228014629,SAI
1,310.7836472049696,290.29798302645503,SAI
2,160.47183679360387,167.145490332754,STR
3,216.73517618286732,216.10799863466664,SAI
4,274.07521903157897,268.88104074666666,SAI
5,298.2727580023236,289.35835021071057,SAI
6,311.714625960215,293.27816441102755,SAI
7,179.87085297142858,176.80806950665507,SAI
8,118.65137499802286,120.66165045744229,STR
9,249.95456365714284,246.62427018719768,SAI
10,293.9494815904435,280.9962713263158,SAI
11,311.2895828740741,288.67807023157894,SAI
12,142.40142882169678,144.08286135205688,STR
13,188.07334164353742,188.85388881109634,STR
14,255.38985456279656,245.27076831888562,SAI
15,204.78466963646227,204.56153142857144,SAI
16,214.3024977989871,207.94872177194426,SAI
17,216.6765591505743,211.12296300659338,SAI
18,240.32047100289856,238.98644597857444,SAI
19,271.35341488120304,271.64431783051236,STR
20,287.881071734996,289.5773178867168,STR
21,266.37604513595613,254.02468850559256,SAI
22,228.17798941524,212.1330016487619,SAI
23,201.0748395076923,196.16325203790853,SAI
24,259.93002232263956,259.0477946426089,SAI
25,277.9833344,,SAI
