Minisector,RAI,ERI,Fastest
0,296.0720760981288,302.30527053202644,ERI
1,306.94611107555556,306.6511111111111,RAI
2,170.01679199616174,155.75072446808076,RAI
3,230.35118958730158,227.11824489142856,RAI
4,284.79236990156073,283.4830881882353,RAI
5,303.23422605714285,311.2222073993531,ERI
6,309.890625,323.1803571809524,ERI
7,177.31704328894307,161.13569280000002,RAI
8,132.714963412128,132.4929642785185,RAI
9,256.002394369884,254.49912396252856,RAI
10,287.4477178565079,290.75703146666666,ERI
11,299.2546568853312,305.9788888888889,ERI
12,153.77609770733042,144.59800972938623,RAI
13,193.70889493959683,199.6201096347826,ERI
14,264.7362455483512,257.7638202330349,RAI
15,208.61179835151515,195.06410698697093,RAI
16,224.0427852184333,226.4324958038327,ERI
17,218.10227345454544,213.9244026975099,RAI
18,246.61907811929822,248.61513235087716,ERI
19,280.0714700423529,276.597136159204,RAI
20,297.3296872,291.97492700106557,RAI
21,266.82526213333335,247.98435791435662,RAI
22,231.51901625955577,214.36014504588746,RAI
23,211.59239058550725,214.07341373968254,ERI
24,270.07972242067194,269.80435591361277,RAI
25,286.5249984,,RAI
