Minisector,PER,STR,Fastest
0,257.43447970088187,261.3150240530845,STR
1,223.03592912696973,227.85519565889766,STR
2,141.54317311082505,131.25706154530943,PER
3,237.55043451169894,235.21929575683347,PER
4,267.0708331093333,271.37520393513495,STR
5,171.26624343893118,179.13673334911533,STR
6,99.0424882621806,101.24585264458368,STR
7,137.99364209628993,133.68049862027394,PER
8,249.81333794318198,252.13996676458257,STR
9,167.54627362879947,163.25997324687106,PER
10,182.69208901661008,177.84723646461632,PER
11,257.8520740466781,258.4479167589744,STR
12,243.5372599784142,257.73961517159637,STR
13,260.19877831296776,265.59947600457144,STR
14,283.58835026756816,284.3244464480773,STR
15,269.0560215139591,269.6923812312822,STR
16,135.15131040421338,138.21125710787075,STR
17,230.82984205999566,230.45258555270937,PER
18,277.976449715942,277.5216850422172,PER
19,288.963586968116,288.6121894161491,PER
20,291.69813314632034,291.7965579130435,STR
21,296.54438409275366,297.7687545745429,STR
22,141.23106721382618,139.91515196530696,PER
23,80.56143746330567,81.71008576615566,STR
24,155.16632168284204,168.0988992924783,STR
25,236.60416533333333,241.87500266666666,STR
