Minisector,NOR,KVY,Fastest
0,300.57807968198756,305.8333333333333,KVY
1,302.2496212363636,307.5000823236733,KVY
2,249.74532489288532,242.35333333333332,NOR
3,151.89964844391824,152.6870950635133,KVY
4,162.50644966297696,164.58303829855777,KVY
5,211.86931667342466,217.79444444444442,KVY
6,224.98928107583464,228.28096603740255,KVY
7,211.42711415896554,210.17036124794745,NOR
8,261.92674686914904,258.72141512251494,NOR
9,258.62425599263656,252.31423611111111,NOR
10,274.99795839752306,265.9270833333333,NOR
11,273.46362692180884,268.72295560933605,NOR
12,273.9041668888889,266.7427536231884,NOR
13,260.44449852342854,263.8468396238372,KVY
14,176.91609808364865,176.68367346938777,NOR
15,243.52764950582923,234.9230229877551,NOR
16,207.0565828563668,198.06385281385283,NOR
17,171.84695570345744,174.62467657539344,KVY
18,256.5673029184787,259.64235508307524,KVY
19,284.9297860256253,287.63181823030305,KVY
20,250.69857671351548,236.65750915750917,NOR
21,188.07033915948318,182.77056132178777,NOR
22,255.75098100557847,257.07666666666665,KVY
23,284.34088958508215,286.3682243258188,KVY
24,296.31306804848487,298.0224206222222,KVY
