Minisector,RUS,OCO,Fastest
0,254.1490893135129,248.59362970369318,RUS
1,123.85994280808956,126.35578104835932,OCO
2,259.98537486961044,260.135996084255,OCO
3,300.8003448275862,302.88323210244454,OCO
4,298.5258264442182,303.95845904174547,OCO
5,307.56386904761905,312.555811797551,OCO
6,310.98718325333334,315.9376663812987,OCO
7,305.8976355959629,310.74835656634923,OCO
8,187.35764065220852,189.60847302596827,OCO
9,190.02957506317208,185.2955403637037,RUS
10,172.54871362372307,179.80831707666613,OCO
11,180.43036378662848,169.86988820335316,RUS
12,255.15516547806445,247.52603506400735,RUS
13,270.0782560262128,269.19805102881884,RUS
14,279.2433405008562,273.1466491661662,RUS
15,260.7737821453324,261.1626925391501,OCO
16,171.7878540622297,168.9844411269286,RUS
17,182.7820624108588,175.3170306783527,RUS
18,236.4075082452381,232.38209845951093,RUS
19,279.3508426992974,278.8628361931213,RUS
20,298.57215906943503,300.9384385382953,OCO
21,304.15404759682536,309.09540116707734,OCO
22,302.20272039478925,305.1845881081023,OCO
23,235.3004336195955,233.92484099956556,RUS
24,109.91285626420984,114.93990434926971,OCO
25,224.2250048,,RUS
