Minisector,RUS,PIA,Fastest
0,290.2706583970441,290.41053708246915,PIA
1,301.2601040281437,299.24690127058824,RUS
2,304.2790849673203,303.08697476302524,RUS
3,300.88038352791784,296.1307587994771,RUS
4,169.00812278709654,165.90274750505708,RUS
5,207.86217027849096,205.17029838910057,RUS
6,236.12188330675173,230.1921349248,RUS
7,266.04331759382677,266.3855902482946,PIA
8,250.68361293762518,246.84451096596786,RUS
9,159.52494523656085,162.38836555396804,PIA
10,221.90852330588888,220.78987372260252,RUS
11,123.29342497331731,128.29697248286433,PIA
12,224.2131897203326,229.5928793277775,PIA
13,173.51461520088998,172.79940123486753,RUS
14,210.8742365739473,213.2835261511185,PIA
15,242.6610235041512,239.67917414920973,RUS
16,263.47779040404043,261.65666574222223,RUS
17,289.0611301431762,284.9667233016002,RUS
18,153.44754297060342,160.04780679768064,PIA
19,163.21910001255267,167.7846925800041,PIA
20,132.6072344871721,138.5309596853633,PIA
21,226.83558093210925,230.55521555882083,PIA
22,266.2538609625397,260.8977046347505,RUS
23,253.50515909079073,250.93131820180594,RUS
24,275.7544668994668,273.8976370253247,RUS
