Minisector,SAI,ANT,Fastest
0,301.79907734349206,303.5935391255411,ANT
1,162.28484046972787,159.84613704591658,SAI
2,163.47875073986648,153.0390170635358,SAI
3,231.88327082040541,237.14775486224485,ANT
4,288.6710569065598,290.6510734172135,ANT
5,294.3078562691345,283.3620522888808,SAI
6,146.9197541671718,145.65515444075868,SAI
7,146.5897118464578,152.41124845747896,ANT
8,143.39125019521,137.59636338959905,SAI
9,188.43902723346605,200.7600348996628,ANT
10,140.74364080447668,124.73207443623137,SAI
11,127.1748487115329,124.50367104432672,SAI
12,172.27591855869727,180.99637838193175,ANT
13,268.85041519904473,273.473211903169,ANT
14,294.1149781046057,296.555194049202,ANT
15,156.49461659776412,141.42401017736668,SAI
16,191.791474018386,197.39672827628493,ANT
17,169.99394996871138,185.2663482797096,ANT
18,269.489092222473,274.5181222734494,ANT
19,293.7867396661192,298.14780943896517,ANT
20,308.1859679570755,312.72145105215634,ANT
21,316.4124817754788,321.79048551756887,ANT
22,320.4868139836007,326.43531012836263,ANT
23,323.86749341291005,330.16847959354914,ANT
24,322.51019239659524,329.492620174581,ANT
25,322.0,,SAI
