Minisector,RUS,GAS,Fastest
0,261.3494180942203,255.39798114530035,RUS
1,134.22331234128586,133.88883736009063,RUS
2,267.45982472135864,268.83197207182303,GAS
3,309.35808660540954,311.7174732223266,GAS
4,310.6730780369358,313.08702372219784,GAS
5,321.3169882132996,321.93603572303397,GAS
6,326.42553007721847,325.8932246631884,RUS
7,328.5512137708212,322.9717461103808,RUS
8,204.14865607869336,199.77027045173867,RUS
9,197.39084656568437,201.46183846752052,GAS
10,181.35876273155947,182.25940206440438,GAS
11,167.70494646426397,169.4831922515683,GAS
12,254.61958754481566,250.9770472135447,RUS
13,280.09781174925973,272.913874746791,RUS
14,284.1654798973698,282.3490438146726,RUS
15,283.9267440344472,285.18960080761906,GAS
16,169.15766934060946,173.494886398905,GAS
17,195.66273879334022,195.36355102146058,RUS
18,246.33404215288888,241.264875437545,RUS
19,290.3519803005257,292.39725813183264,GAS
20,312.60589864589775,312.87696268698414,GAS
21,319.7235117661453,320.5670805149509,GAS
22,318.04996997147697,317.5052038896655,RUS
23,270.51376695848205,260.7664333527187,RUS
24,116.42936013120958,117.05194348337942,GAS
25,,232.2296868,GAS
