Minisector,HAM,SAI,Fastest
0,291.13088402341856,292.9148549101449,SAI
1,301.0930643279503,300.73100656623376,HAM
2,275.3403730804799,274.50266820266665,HAM
3,116.39511041312467,115.21595502706913,HAM
4,228.1167091115613,232.87810939659636,SAI
5,272.09077165936293,273.43049954133335,SAI
6,219.39770962380953,199.92230507135895,HAM
7,175.17917701278245,177.04650860196338,SAI
8,209.23914104242425,216.5564215025184,SAI
9,217.9268068580979,220.69886707388713,SAI
10,120.24437897207484,119.08794202125463,HAM
11,229.80277735111113,234.6865716608983,SAI
12,121.90216956276115,120.41203940419462,HAM
13,229.66353073529797,233.41788493089643,SAI
14,274.125166976,275.105209719293,SAI
15,218.2051564263677,210.45929676461503,HAM
16,210.9211508,212.50917920500345,SAI
17,253.81244881783243,254.1929486769231,SAI
18,207.08610922020202,191.1462188197385,HAM
19,199.2680731706898,197.673688640272,HAM
20,267.49573883733336,269.68991328781226,SAI
21,287.1385868985507,289.63640487446565,SAI
22,172.98317359942627,162.32289296388367,HAM
23,222.18158006121834,225.57725865154134,SAI
24,274.7913414843197,276.80373319740625,SAI
25,285.72636810217574,,HAM
