Minisector,GAS,STR,Fastest
0,254.77754554074076,262.45260156681246,STR
1,128.83396971077792,137.59046866492946,STR
2,200.95000175238096,196.45729306666667,GAS
3,248.17100056669173,245.64466215145052,GAS
4,261.3600076380952,258.73437466666667,GAS
5,179.78661636750877,185.11558248311687,STR
6,143.12900402753087,146.85506348145623,STR
7,184.50347616827125,179.97045667878788,GAS
8,104.67042133726463,103.98465288141078,GAS
9,78.45897922501088,77.72179958962964,GAS
10,94.05118901907097,94.13981107737372,STR
11,178.19285733679655,179.91482642073436,STR
12,247.334117258061,247.18235375686277,GAS
13,270.9733340444444,270.8140340602262,GAS
14,270.6684825777377,278.9124978488889,STR
15,117.71829169731282,122.13056397086835,STR
16,139.68701780610687,134.11669257863088,GAS
17,194.16665681591812,199.9928568888889,STR
18,195.86655549660992,199.80858523567508,STR
19,213.79649122807018,226.35422395213186,STR
20,133.63451535626348,132.56726989993817,GAS
21,117.6654189843772,122.27781945431019,STR
22,90.0789699453185,88.9757817164617,GAS
23,195.70233242476257,196.55714463492063,STR
24,249.69019672380952,250.8503856851541,STR
25,,262.2583328,STR
