Minisector,SAI,COL,Fastest
0,247.15453861241258,241.73241297026524,SAI
1,286.8930103038233,279.6548809194374,SAI
2,166.4676790421469,191.20297520619312,COL
3,159.45425995878787,165.58169704130108,COL
4,255.46152237184265,254.50800686917185,SAI
5,275.1168933555748,267.94127362055934,SAI
6,234.17870463746033,239.59262147565715,COL
7,208.69356090279544,213.06039281705947,COL
8,162.79408145855288,163.08438517477651,COL
9,215.34024954223997,214.57566272131433,SAI
10,271.9968517098901,268.5536904619935,SAI
11,128.85948813232952,131.23199040169703,COL
12,216.36971739539146,210.85909465020578,SAI
13,275.9495076774603,273.1606145028091,SAI
14,299.8897729015208,294.49656084656084,SAI
15,312.99380770652556,305.17808585858586,SAI
16,244.99799601730106,244.61409604720757,SAI
17,129.37501696720247,129.9477626431645,COL
18,132.11086870278956,130.26903246826308,SAI
19,120.82304190717315,122.79578880012706,COL
20,228.35134019425982,226.1647474747475,SAI
21,255.60452180395603,261.20433054602637,COL
22,244.71109424513332,239.7089749345305,SAI
23,219.1209002454422,222.25056570977299,COL
24,139.43052260592336,139.19566049267806,SAI
25,219.8,,SAI
