Minisector,GAS,LEC,Fastest
0,276.44408441954937,273.04670895620797,GAS
1,293.2769731372482,292.355043502514,GAS
2,224.25442922707268,228.91036857964926,LEC
3,129.00376062238462,127.4585492260505,GAS
4,182.4633997833267,182.1022721314376,GAS
5,122.98991706588076,119.61628147104089,GAS
6,211.71766059174604,210.08002164825396,GAS
7,256.84406459784736,260.8272507688305,LEC
8,175.66409889163197,174.61484642962964,GAS
9,183.6408074900614,181.05377711338704,GAS
10,263.3454868,263.7659151449736,LEC
11,187.40781507155722,183.77800869500823,GAS
12,170.09169872435277,165.90283788818599,GAS
13,257.9183389351923,255.68502055873014,GAS
14,272.52304985303056,271.42016821766725,GAS
15,283.99886361212117,286.35470804502165,LEC
16,205.0629325114398,199.52580575018732,GAS
17,190.74946557447078,189.81546359862585,GAS
18,244.60532209995984,242.01460471454655,GAS
19,282.5598315858544,281.30823036024844,GAS
20,293.14096323463207,293.2532198787879,LEC
21,198.49099145674506,200.8571393095238,LEC
22,149.25972502978922,147.5236450232558,GAS
23,156.18889403778044,154.13026908246223,GAS
24,228.39625346643945,223.80690892315002,GAS
