Minisector,NOR,LEC,Fastest
0,293.7219849658483,290.8522325269534,NOR
1,297.61201383269844,300.37832514285714,LEC
2,158.30731140691864,163.82454968766447,LEC
3,223.7675557584314,217.95571060069264,NOR
4,273.00879491947956,270.5133313122297,NOR
5,294.0117904175824,294.1344823877503,LEC
6,304.9210671902041,301.51270835555556,NOR
7,170.32775946615928,175.54687717319925,LEC
8,136.24132270727208,127.82298901942575,NOR
9,250.5347003071522,247.2409298811469,NOR
10,285.7466986773333,282.9821568522876,NOR
11,296.6103913677675,298.06920277252635,LEC
12,144.39063216414166,143.75356461739588,NOR
13,193.07327813175343,185.25439551583204,NOR
14,259.0652911117576,256.75696915704276,NOR
15,200.54196536507936,195.42319137976963,NOR
16,219.91191826123324,213.88792127046761,NOR
17,215.16390340102564,214.6934173779027,NOR
18,249.5850516754838,240.92688166374606,NOR
19,279.99807043160496,275.18114346942093,NOR
20,296.62709414603177,293.70816012744586,NOR
21,269.48193639619046,269.96497377373737,LEC
22,220.7569754593524,221.77639147010885,LEC
23,200.16495824,195.80781625851446,NOR
24,264.7546632228572,260.49126439606135,NOR
25,,280.17222257777775,LEC
