Minisector,RUS,BOT,Fastest
0,245.93359699453092,240.01180866951745,RUS
1,118.18871239948567,124.19664047445886,BOT
2,192.99530775862482,196.90356650136795,BOT
3,241.93690309198877,240.76205428571427,RUS
4,250.9053277862789,248.2024896828327,RUS
5,172.18044330763416,166.8268198628367,RUS
6,144.2674745498961,141.1463388899908,RUS
7,190.30769117994987,181.42760551055412,RUS
8,104.71453373704391,106.23940482161039,BOT
9,72.61809732914325,73.20176970405157,BOT
10,93.97841539954301,92.35940577354498,RUS
11,184.09354438655672,185.04438741333334,BOT
12,242.64314480527474,243.55222737194026,BOT
13,265.58525708698414,265.8098266888889,BOT
14,270.66425428280274,267.72129635116886,RUS
15,111.08217096303567,106.57854652485344,RUS
16,153.8758686738772,151.4433960673016,RUS
17,178.26917611388475,177.46268050927318,RUS
18,200.78267292683472,192.87534803260073,RUS
19,197.41749493243697,203.48028670765237,BOT
20,128.6337792416117,130.40015869943824,BOT
21,108.70547960126984,119.45001713333077,BOT
22,96.7428147976734,92.79089869176471,RUS
23,199.81420283284822,191.76852903978167,RUS
24,249.05273709714285,247.09608280999004,RUS
25,263.38780957567815,261.5666688,RUS
