Minisector,PER,STR,Fastest
0,289.5539568664953,297.8149891590329,STR
1,297.9581348368254,306.8290818612245,STR
2,302.2332421853109,312.7625001025641,STR
3,303.295312647619,313.6955782965987,STR
4,200.4455977928109,203.30725846511524,STR
5,101.5643731168753,95.98257936592593,PER
6,203.3904619950357,199.90818231982493,PER
7,255.22438495002226,257.0188732862745,STR
8,279.7882814,283.42222293333333,STR
9,287.21889062603174,286.5452504910441,PER
10,153.3325166941004,149.54688795202821,PER
11,172.69594438446137,166.9013466588268,PER
12,242.59756753983842,239.99019708235295,PER
13,236.26018471111112,242.93200883809524,STR
14,154.0106942408528,147.95256699697023,PER
15,218.3720715355434,208.89127156825396,PER
16,261.52708378095235,259.7817469561905,PER
17,281.2686844309294,282.8365033375116,STR
18,292.0681429648743,295.9455783836735,STR
19,294.9050001066667,299.6997221688889,STR
20,280.8477772088889,280.6278220954219,PER
21,154.92553949504662,145.5917237370732,PER
22,208.9902780952381,204.20541888,PER
23,257.46789388649677,257.7928615093756,STR
24,280.53102670476187,284.7636120888889,STR
