Minisector,VER,SAI,Fastest
0,316.86872908,317.5637437154346,SAI
1,326.6394897959184,326.00904966469506,VER
2,322.496418191345,321.83153778442147,VER
3,170.20434532936105,184.17600921255888,SAI
4,124.36888039791745,125.8892529988628,SAI
5,263.87926116141415,261.59980368501596,VER
6,298.65524388304294,298.62520737501507,VER
7,311.6974414830409,312.5199757671493,SAI
8,263.1365545712807,270.0854624783989,SAI
9,141.77489658298973,139.31340684357752,VER
10,209.53111583046396,209.55782793224708,SAI
11,216.44854460603673,208.70836936001325,VER
12,194.27639292168794,195.2709429312198,SAI
13,267.97616811757194,264.2612226294954,VER
14,297.0047257345724,300.25507889802554,SAI
15,310.7951315873684,312.4031627164444,SAI
16,258.1155479404489,262.2248659856438,SAI
17,211.5516052807174,210.03768321611975,VER
18,271.6903754662451,269.9690320943359,VER
19,304.4402251726708,304.38215251809527,VER
20,315.9041667047619,315.57901158466467,VER
21,294.44749700096617,300.17487593645706,SAI
22,206.24126191883485,202.9817279100587,VER
23,262.78769912967033,261.2346729635368,VER
24,299.7246892398032,299.4685737076887,VER
25,311.94999936,310.425,VER
