Minisector,VER,HUL,Fastest
0,276.46371463609665,277.1268766043408,HUL
1,298.47355432397444,295.04437982545403,VER
2,297.1045489473986,292.96572778013984,VER
3,175.53477937820105,184.835494931784,HUL
4,117.35769088847101,122.08257948385729,HUL
5,235.06802822443083,236.04791167030163,HUL
6,288.9842257064248,279.0041092133568,VER
7,310.5168918547841,292.5231724372169,VER
8,180.82005421172468,187.30232977035035,HUL
9,140.6826451927269,147.14173195453304,HUL
10,249.2434409801382,246.01633286370327,VER
11,289.7257287784127,285.98450375247864,VER
12,302.4136700554808,299.2727283965016,VER
13,289.6177962233766,282.026088296871,VER
14,300.88965571864736,297.250397137974,VER
15,299.4053771869343,304.0159076996908,HUL
16,257.6229457298551,265.8654044478672,HUL
17,231.969908485615,222.67089873276396,VER
18,286.0973720990804,270.7238217783136,VER
19,315.47546108997165,294.8291239978408,VER
20,326.6820210909091,299.87908808811596,VER
21,246.71293322981938,248.97842822922988,HUL
22,261.45783875908904,257.12322993555557,VER
23,146.6531545328107,151.82151322788778,HUL
24,207.85132909408696,193.27818963612359,VER
25,255.35714285714286,251.82166741333333,VER
