Minisector,NOR,ALB,Fastest
0,295.7256677401058,297.02103546908785,ALB
1,302.96899558136323,304.40016664533334,ALB
2,209.40422784945687,216.55122476299016,ALB
3,132.76641060057977,135.67645276140672,ALB
4,218.98689124363636,214.5012530050598,NOR
5,165.42857323177032,156.0118288607268,NOR
6,170.23739737904762,168.2602162763756,NOR
7,248.17548141188763,255.9642757445614,ALB
8,277.833567398254,280.94302147633647,ALB
9,287.08136888380955,289.5515132294737,ALB
10,261.66216065885266,253.39641237897706,NOR
11,240.8790772,236.11641852256156,NOR
12,242.87189533778943,229.14013407505928,NOR
13,210.69012722782608,202.867419262925,NOR
14,126.78980558389115,126.30026794796908,NOR
15,144.53081179456515,132.4431215540479,NOR
16,165.870821201297,186.44662652665116,ALB
17,250.38632845968255,259.5500036402116,ALB
18,251.80919494603177,227.89949600843443,NOR
19,116.01339640191387,114.17721300059102,NOR
20,182.14504036044343,203.53499923417033,ALB
21,203.4176090627087,194.85572113127398,NOR
22,230.0662861347939,243.19308106542277,ALB
23,271.5144921501086,276.05452377396824,ALB
24,294.4780614205291,298.63735730926163,ALB
25,305.11500032,,NOR
