Minisector,NOR,MAG,Fastest
0,234.27757920743232,230.50109062474067,NOR
1,282.0591666550725,278.90121303425207,NOR
2,295.738664619819,295.35258913428834,NOR
3,302.16421167424005,302.6677975847619,MAG
4,264.57741205770617,277.70465083146576,MAG
5,168.13621551161614,165.3961936286768,NOR
6,262.1626753513569,255.97978111510932,NOR
7,279.564040426678,277.98566218112325,NOR
8,212.05127035775268,224.67681360403657,MAG
9,220.9239942783839,213.8760368134629,NOR
10,177.5366772561569,190.57100605769105,MAG
11,222.85462945430706,215.88524041542516,NOR
12,200.25533708944985,210.26052494916934,MAG
13,209.44535366784714,218.88523529880152,MAG
14,222.8891716482421,216.73344518004072,NOR
15,177.36475643341217,183.4325358977572,MAG
16,248.7775786102393,235.48837547352,NOR
17,284.06475999751603,281.2091063122256,NOR
18,296.454921095857,297.2363303514609,MAG
19,291.3325446130671,294.3422115694392,MAG
20,129.23131170500923,142.81393651410002,MAG
21,157.6339293088127,173.76475499944246,MAG
22,149.22747372430447,132.3144656817537,NOR
23,206.32576574996966,223.04938985601004,MAG
24,143.1883647211016,140.93032287725507,NOR
25,186.64017120932652,163.26200926102155,NOR
