Minisector,HAD,HAM,Fastest
0,295.6410336769144,295.4111663869804,HAD
1,150.74709749845135,147.27377355340806,HAD
2,223.04765974859828,223.4939439963186,HAM
3,282.3652539579677,280.73313044462583,HAD
4,311.32239555555554,313.4246593575287,HAM
5,297.18405624407825,303.56120996502165,HAM
6,150.7349422630601,149.95021227934396,HAD
7,240.84186188691464,252.058401301231,HAM
8,112.89501680023791,113.5668474082584,HAM
9,173.3762350551568,173.64137658378067,HAM
10,271.38583136705915,280.50226787613275,HAM
11,301.04614347962104,304.24630228009886,HAM
12,211.39576597099406,208.0783652102876,HAD
13,169.49097497605305,177.7836887242369,HAM
14,280.1830467383873,281.9105364115237,HAM
15,312.9089250852465,314.21959080137117,HAM
16,327.0683197745223,327.8394865080277,HAM
17,334.2824218,334.8199318048881,HAM
18,336.61175594285714,338.26306348583046,HAM
19,334.46494000788,339.7153835212949,HAM
20,189.26438152970803,178.59671774468495,HAD
21,176.16572941373033,176.37726251123664,HAM
22,280.24295882250607,278.81231190349206,HAD
23,312.86910872622826,314.0904020614204,HAM
24,319.12610068624,326.11980158984125,HAM
25,,326.3333333333333,HAM
