Minisector,RIC,MAG,Fastest
0,253.7993064002867,256.0406686857982,MAG
1,204.00871146706632,204.56508859408302,MAG
2,220.53360347040993,225.00026941823677,MAG
3,262.3168484957945,261.5913223602083,RIC
4,275.20459673444225,272.077852212801,RIC
5,223.6724128639586,216.32306079429674,RIC
6,99.16231164448804,94.841200018062,RIC
7,186.53881121880167,191.79776517089564,MAG
8,268.8846696006417,277.5626802283616,MAG
9,291.7484310189974,306.98997217169364,MAG
10,301.4765281635119,319.764203077904,MAG
11,300.7776861071241,315.46749709569985,MAG
12,116.84760504828942,104.9528044639237,RIC
13,215.179227753094,211.57049800845613,RIC
14,274.1062901571746,277.21446229155544,MAG
15,293.9452026829548,297.1773652310497,MAG
16,226.4027719962829,205.05678030768516,RIC
17,123.84528126834401,122.06250486181817,RIC
18,154.0765422802305,153.62493303836416,RIC
19,251.09356127357637,257.1789185549862,MAG
20,157.8343584343864,149.37024880511615,RIC
21,130.0123374225168,126.68899283199042,RIC
22,202.92502115229098,202.1005394246011,RIC
23,209.20622379146974,199.4434143363651,RIC
24,169.19490637807286,163.24372002944608,RIC
