Minisector,SAI,PER,Fastest
0,326.92249338546367,299.3724206222222,SAI
1,337.05416658823526,302.32648689301357,SAI
2,332.8845964467665,296.2320802005013,SAI
3,221.44940692161174,220.3596153846154,SAI
4,218.59790009642694,225.11368426348798,PER
5,115.19323259138947,116.70380076070651,PER
6,227.3826492601074,224.98349994666668,SAI
7,266.7229586866213,266.8901515151515,PER
8,220.05865886827414,228.84033356799998,PER
9,120.71387401295584,122.01691856452726,PER
10,243.14378673074035,240.11388884444443,SAI
11,252.22600206868685,239.66157920733903,SAI
12,130.2079115950127,137.35968992248064,PER
13,221.3206647776688,215.2805712365021,SAI
14,265.8511902984127,266.3297100985507,PER
15,218.27253317530864,222.97083135451575,PER
16,167.03330114311072,165.4345235504762,SAI
17,242.1945651478261,238.56068546427022,SAI
18,125.01887693812564,123.62202603831305,SAI
19,141.826406875563,147.38147396160372,PER
20,204.55475992380954,195.6765729051665,SAI
21,261.1881853247151,254.16951343436853,SAI
22,278.63769813333334,272.61349206349206,SAI
23,287.9452393926178,281.6109111884072,SAI
24,296.69999973333336,290.72791664,SAI
25,300.5833333333333,296.0645829333333,SAI
