Minisector,RIC,KVY,Fastest
0,295.20354176,287.88104144,RIC
1,293.9333528819411,285.2032306882242,RIC
2,158.76558393940746,164.70053716363637,KVY
3,230.38242828985506,227.2509231924395,RIC
4,283.83734335839597,270.22868863901215,RIC
5,309.3495798588235,286.59627179147867,RIC
6,315.4269956929972,291.1560184888889,RIC
7,163.22990476190478,150.1256908350877,RIC
8,137.63122639926172,143.21508749134355,KVY
9,249.80674603174603,250.27310550303034,KVY
10,281.68327099348375,278.5489923901579,RIC
11,285.60087719298247,289.1932898290344,KVY
12,148.13553257777778,147.11193898656296,RIC
13,203.73880025747738,205.59772270926442,KVY
14,257.8727890140589,251.02668465001634,RIC
15,203.6330471552402,203.13519790087983,RIC
16,227.84420289855075,224.96532051345753,RIC
17,219.67466641066665,221.6597499483086,KVY
18,249.51732639940317,250.18012992290247,KVY
19,276.1486844070176,274.431618326187,RIC
20,287.7829454780645,285.54022609625304,RIC
21,256.3310719189957,263.2596434819048,KVY
22,224.4276036,224.31374128432228,RIC
23,211.21986068383526,213.04256574405557,KVY
24,265.2427085333333,265.55172611255307,KVY
25,283.4500010666667,,RIC
