Minisector,PER,RIC,Fastest
0,303.91072531131414,288.75338387473295,PER
1,319.2569443047619,295.72028985507245,PER
2,306.27193941471864,284.6319938285714,PER
3,107.7717581233795,113.23746035011776,RIC
4,221.3407248172043,221.3051087462287,PER
5,278.99412852678057,275.35437829828294,PER
6,226.97694634666667,217.38689581752539,PER
7,158.06042357614194,158.03585381705426,PER
8,216.28715517542244,209.25493087045228,PER
9,225.13549734376357,215.33669388387096,PER
10,121.47026485586406,118.79903011851117,PER
11,226.6760052597701,230.16240769556103,RIC
12,127.33592983927305,125.69208814286976,PER
13,222.75131667396562,226.268535245977,RIC
14,276.97166640761907,279.4918733463548,RIC
15,226.81625129955555,221.04765596313362,PER
16,192.76785651809524,190.9823179811278,PER
17,251.54675921382716,246.95401220740743,PER
18,213.47916813333333,203.49486666982008,PER
19,176.31751183352492,177.74279334054054,RIC
20,260.82976321929453,262.9164670748079,RIC
21,281.47577641909703,285.18985497971016,RIC
22,181.78796138595823,175.1856036956403,PER
23,214.06854744086021,216.65117566369764,RIC
24,266.85178855500226,271.729483740136,RIC
25,280.0,,PER
