Minisector,LEC,BOT,Fastest
0,266.7801472,270.071541341498,BOT
1,292.3336474867248,300.57305934225775,BOT
2,304.77818631215683,319.49559936820515,BOT
3,314.63031997142855,331.485003674014,BOT
4,320.2741319111111,339.55831329862434,BOT
5,321.8352232285714,341.7695436952381,BOT
6,201.85364502470668,205.39022294233766,BOT
7,104.26816601245837,102.19194707156902,LEC
8,178.72832337737287,176.60257752029304,LEC
9,255.02129641481483,264.68633361707157,BOT
10,285.69047636825394,296.5778475747186,BOT
11,165.79838303821882,157.08885824,LEC
12,95.9591575574621,92.0050097193698,LEC
13,111.04326089740381,114.02447972330533,BOT
14,213.46601363014491,215.4467627412582,BOT
15,185.29857896693173,174.25613963728168,LEC
16,222.07880523636365,215.67512241944306,LEC
17,172.7916894065934,167.13795742452382,LEC
18,234.11162185785125,231.89562486459627,LEC
19,272.8931621495238,280.418853720099,BOT
20,241.77863408521304,241.07667788700843,LEC
21,144.95410120364656,136.59508532825095,LEC
22,94.8015043621483,94.76877876895968,LEC
23,122.30965821617428,115.5221448814011,LEC
24,218.6232630233766,219.22308702250731,BOT
25,251.62,253.4249984,BOT
