Minisector,PER,SAI,Fastest
0,288.6397721974026,301.0600342327821,SAI
1,308.49145808,325.58083311999997,SAI
2,305.7766456815719,307.5874981333333,SAI
3,182.2444287111111,177.66824524762288,PER
4,220.67785437037037,218.25344904827585,PER
5,201.61621990861013,203.1157094576425,SAI
6,187.40393234747475,189.8219072080808,SAI
7,209.57052090628002,211.58907940481546,SAI
8,257.79267391158004,255.9988089295238,PER
9,258.7723446626966,257.0894876317033,PER
10,171.3071874088466,171.57683351831236,SAI
11,240.82245306666667,238.64131113695277,PER
12,121.34584503175931,119.59646973614771,PER
13,228.81521939625696,229.35756591581261,SAI
14,277.60948647808533,272.17932283298893,PER
15,286.45578369658,278.2017599469979,PER
16,201.8357354470046,206.95162587572568,SAI
17,184.42265489524456,183.61579164548144,PER
18,271.4616060444444,268.00307867826086,PER
19,298.77666629333334,292.7903406060606,PER
20,311.1651759094647,303.5351505253153,PER
21,311.1968720909443,303.7993483102041,PER
22,272.07466003993966,257.8327569216273,PER
23,118.36070722273563,118.16921451891855,PER
24,243.37962832592595,244.11153675604393,SAI
25,,272.5749984,SAI
