Minisector,VER,RIC,Fastest
0,307.42842922851906,301.6426268801308,VER
1,250.39248807093594,247.00488220689655,VER
2,192.18364470579417,194.5476430716914,RIC
3,266.5051079923782,267.3120159266314,RIC
4,220.97345214539118,225.22920922340808,RIC
5,112.8060572803348,108.42093237183842,VER
6,179.3738513710162,167.3276350152946,VER
7,257.8203699753086,253.82045173877552,VER
8,289.0975087723189,284.50144008301,VER
9,306.57238595445136,297.42353685079365,VER
10,313.26889727370764,299.9059782956522,VER
11,229.85037977782625,232.67649858822904,RIC
12,144.73846639020405,141.69998661285805,VER
13,259.1692017100529,253.29228562962962,VER
14,294.66049840625817,286.6956231665934,VER
15,307.23325227359305,293.9567707111111,VER
16,299.8594021478088,281.4808638419753,VER
17,246.19271377865354,245.4172391724138,VER
18,177.47173517298958,168.84030709123107,VER
19,178.9937493814616,185.9374600602282,RIC
20,174.20710863442287,166.93827735813954,VER
21,237.5097816398961,244.86127622843054,RIC
22,121.59889017665279,122.20605981003483,RIC
23,195.0286703710707,185.7393693442692,VER
24,279.4304558284475,277.85277103589743,VER
25,,294.1250012444445,RIC
