Minisector,ALO,MSC,Fastest
0,273.77403319838385,271.79488722962964,ALO
1,294.44881273993826,291.7916885445614,ALO
2,288.13740700422363,289.7119448735773,MSC
3,163.71957841150098,174.75407791138073,MSC
4,118.26760601081557,116.38875102791971,ALO
5,232.35601236752635,233.27624604415985,MSC
6,287.565809513347,278.31760466161137,ALO
7,299.77808468533334,289.0598064923906,ALO
8,171.74944309090193,174.95661099391324,MSC
9,134.78519338742396,139.93259586197402,MSC
10,247.09588533315193,245.90379766830313,ALO
11,284.6558429246216,283.0615505872132,ALO
12,290.97382840666666,287.38445109682664,ALO
13,277.1295345088831,273.03791138302444,ALO
14,294.6944179642526,291.38252155197694,ALO
15,297.29711288989375,288.18552442096797,ALO
16,241.23595957611718,242.2661847331217,MSC
17,217.44612524565767,220.477716467597,MSC
18,279.4346618312743,272.5845523285096,ALO
19,310.3653327617095,294.5668271432657,ALO
20,313.4759100393369,298.64909384000003,ALO
21,222.04484645226358,231.24090205822566,MSC
22,253.41010752839057,251.37590032156288,ALO
23,128.06345368505347,131.72453153030403,MSC
24,214.19734426027085,209.74082989260486,ALO
25,,253.70000000000002,MSC
