Minisector,VET,GAS,Fastest
0,301.93532477069596,290.65192311794874,VET
1,162.64772926635428,159.53220767783338,VET
2,152.69626717777777,153.04276129317523,GAS
3,223.70754980324452,222.30913978494624,VET
4,285.89562817289374,283.56116671699755,VET
5,291.1156010501841,289.73904761904765,VET
6,146.27400684063068,146.29765568166556,GAS
7,141.7746078517862,141.17949596596677,VET
8,149.94258210736479,149.17388938809256,VET
9,177.30859118771536,179.247765861328,GAS
10,133.64564573620208,134.8563572998248,GAS
11,126.9642085876666,130.6675700579114,GAS
12,165.31977112530856,161.125575110028,VET
13,266.9412556952381,265.1409968315801,VET
14,286.4380663137562,290.7210144927536,GAS
15,152.31067237403533,154.66574864071345,GAS
16,212.21113216305054,211.12410071162935,VET
17,169.0566552004066,167.08995653941153,VET
18,271.08037342020714,267.60500946867245,VET
19,295.47608369814253,290.4425843809524,VET
20,309.2220426722174,302.5915427111111,VET
21,317.10208329696974,310.1287878787879,VET
22,319.8366718873706,314.229666688,VET
23,321.82265924718325,315.7915715795868,VET
24,319.7486855047619,312.2824652,VET
25,,307.98750026666664,GAS
