Minisector,VET,HAM,Fastest
0,293.13266808291314,293.0104818062341,VET
1,291.089841,297.02574404761907,HAM
2,160.7366017311014,163.97154842532328,HAM
3,228.8946813422748,229.7029217345098,HAM
4,279.0420357873408,278.1059116414882,VET
5,298.0433857920888,296.47509598243624,VET
6,300.2122220901587,303.65183023114423,HAM
7,150.16491350677214,158.0035585791946,HAM
8,149.23884907119552,139.05185546691777,VET
9,256.9792532232225,254.3046174014502,VET
10,289.5372502664214,286.9102118053829,VET
11,296.8205600824849,293.50387125754787,VET
12,143.36987468861622,135.3779127242941,VET
13,210.85597954782608,203.18768580712776,VET
14,263.13362121139954,259.6736973186638,VET
15,201.4363040277124,207.18467193275868,HAM
16,230.825080408055,226.4076042564643,VET
17,213.3103786843018,213.30701153295774,VET
18,250.39273411672275,245.7962701226591,VET
19,279.08752382546066,278.6033792410807,VET
20,294.70278362592757,295.3858035804466,HAM
21,257.8117448291518,263.57446386894867,HAM
22,224.77196682406816,224.39301731337883,VET
23,215.93297898963382,216.737358064773,HAM
24,270.98669404547314,269.78849899380344,VET
25,285.97014864543013,,VET
