Minisector,HAM,BOR,Fastest
0,257.1647344252217,257.11207042527775,HAM
1,133.99826054849447,133.32897740792743,HAM
2,265.8352521673143,268.65969325373675,BOR
3,308.5520057570375,307.0174549029893,HAM
4,307.98717804767676,307.3485847246561,HAM
5,317.1129945521693,314.9478787927273,HAM
6,322.5183261777826,320.1392380688254,HAM
7,323.0286062340373,317.4502854834162,HAM
8,214.54189210543515,209.60858074079457,HAM
9,200.36900012830284,200.32779438567295,HAM
10,184.86017363742985,181.71015976777255,HAM
11,173.04528386434032,169.9353198884313,HAM
12,258.12155583117243,249.76573370544182,HAM
13,281.8066596249736,275.02561078871196,HAM
14,287.0228853187109,279.05199209723355,HAM
15,275.5901586210572,274.3148548236735,HAM
16,170.79029828529423,176.33712584031827,BOR
17,194.81501464697092,201.55677848127024,BOR
18,247.65186603459355,247.62481256416007,HAM
19,293.3574700864883,291.6088663930435,HAM
20,311.3854556761606,309.51874897809813,HAM
21,316.4650000178882,315.2773243574603,HAM
22,314.6391412711619,313.39540173841266,HAM
23,266.45902668072506,274.7396956506455,BOR
24,119.91550433491282,117.48182844533795,HAM
25,,230.20000000000002,BOR
