Minisector,RUS,TSU,Fastest
0,293.3330584977778,289.60136324059465,RUS
1,303.4091573050815,299.8269479168831,RUS
2,307.1250001185185,306.25231143492067,RUS
3,308.7660489885714,303.93821661335744,RUS
4,193.82953125520763,194.31238019420007,TSU
5,222.19807203995117,212.73783991625194,RUS
6,271.7780618206413,263.02856173066664,RUS
7,275.08010321608464,264.5041315840086,RUS
8,187.46950191480974,184.99590484038097,RUS
9,146.54922348557318,149.2892850988517,TSU
10,188.20582655000462,173.66646173735452,RUS
11,260.9959821355102,255.1579357487128,RUS
12,257.0767263153026,244.62498402390713,RUS
13,233.81457170186334,220.05576000463768,RUS
14,274.0319666230524,265.80902851849623,RUS
15,171.03627761625566,173.6805009740076,TSU
16,222.78163906748108,207.90474417985658,RUS
17,243.12930313333334,231.12624116816417,RUS
18,137.3592519567576,130.54561943670225,RUS
19,241.5405698819951,232.43747691903522,RUS
20,280.2872073128594,273.6068038360926,RUS
21,252.2591349142857,244.7092489588758,RUS
22,142.2332948404144,138.14408710887503,RUS
23,213.2609192736508,206.2995179302357,RUS
24,271.6482600646945,266.9910499038811,RUS
25,285.9750016,281.5687488,RUS
