Minisector,BOT,PER,Fastest
0,308.0934210245614,302.15717588148146,BOT
1,242.08800042378712,249.50503154714315,PER
2,138.66718343057644,140.8478406890479,PER
3,217.74047014805433,219.44225071637405,PER
4,262.44145760000004,265.31432513372295,PER
5,288.20251017854224,290.12499976296294,PER
6,302.85984290412847,303.40539262745096,PER
7,288.3285114385965,286.88135522807016,BOT
8,176.57511205700095,184.94203062899237,PER
9,239.30546436017315,245.90511549090908,PER
10,271.1699996266667,276.588959631013,PER
11,268.0633997754902,269.7737874996688,PER
12,209.23766677333333,215.71483323733332,PER
13,128.11436559310997,134.7201892020364,PER
14,125.78171231316016,128.59380989626607,PER
15,163.67265768095237,177.27783306534747,PER
16,119.54178993689065,127.05972984287585,PER
17,232.24288230559006,232.2361063404939,BOT
18,187.9811324627702,193.59781908994708,PER
19,158.01287783434344,165.98348816104044,PER
20,245.18139574696653,249.16944365714286,PER
21,275.2397551799499,276.9391696679929,PER
22,291.65172144371826,291.52652730909966,BOT
23,301.269885739855,296.68475525925925,BOT
24,304.95694429629634,300.60833333333335,BOT
25,,300.3666666666667,PER
