Minisector,HAM,PIA,Fastest
0,268.6188972382587,273.68317104110974,PIA
1,288.0702649595682,300.8629564495051,PIA
2,285.11035687597706,307.33037567222,PIA
3,122.68386161699597,121.3977966293976,HAM
4,193.9498658070073,184.12427575134086,HAM
5,248.30218911890947,253.11369168404352,PIA
6,140.63845335903954,130.56402165062403,HAM
7,205.75023730009596,189.49516080328533,HAM
8,256.08423708126446,253.22198208435375,HAM
9,276.36547238861175,278.7325826913851,PIA
10,229.1383700149403,231.10667858388214,PIA
11,171.52868411155336,162.59244924122657,HAM
12,188.88694381082604,188.48419783679057,HAM
13,142.78692021088915,143.86297157855884,PIA
14,180.2881231315849,171.68319991721043,HAM
15,158.4575330165451,161.34668026076187,PIA
16,215.4916287621983,212.15262531501628,HAM
17,234.27551981946755,232.26794564866444,HAM
18,237.93815245056206,237.17508932483474,HAM
19,245.08850921675213,228.81598433015873,HAM
20,139.87664950566023,145.0270089624288,PIA
21,134.20781364597008,127.41169284361393,HAM
22,169.40187518227665,165.11931720401148,HAM
23,149.27589033419233,150.99660533067797,PIA
24,223.52756287834515,227.59095806699872,PIA
