Minisector,LEC,MAG,Fastest
0,256.59767523266186,256.0406686857982,LEC
1,199.59420453590857,205.7281274724431,MAG
2,219.97976111275182,223.03729647682061,MAG
3,263.0135812838626,261.5913223602083,LEC
4,276.62713620666403,272.077852212801,LEC
5,220.55879991929052,216.32306079429674,LEC
6,95.58601523534843,94.67665015902368,LEC
7,183.33054156703884,189.00984987494786,MAG
8,277.80128997381615,277.5626802283616,LEC
9,302.90931325956126,306.98997217169364,MAG
10,314.61240529653867,319.584436582232,MAG
11,314.56187091420634,315.8441222409148,MAG
12,107.32318200347498,104.3448188293509,LEC
13,216.05137497709512,205.6346228801867,LEC
14,280.55821839586275,274.96721407830296,LEC
15,299.0049600408694,296.787966886714,LEC
16,234.37933299482734,208.6449451458812,LEC
17,121.96724598894875,121.4910762903896,LEC
18,144.20047887949835,148.85826461370684,MAG
19,254.28992479815963,254.77667201519512,MAG
20,146.89908904814735,153.7786715319107,MAG
21,124.53250141395279,126.21700005910174,MAG
22,194.89136607608322,199.7005394246011,MAG
23,194.56274017809577,201.27924814969842,MAG
24,162.99538370380307,161.18654370352016,LEC
25,231.90416106666666,228.98333333333332,LEC
