Minisector,HAM,NOR,Fastest
0,313.1514567107648,313.92660627422526,NOR
1,319.4471454476367,321.68721087564626,NOR
2,312.2917597667909,318.1418184117649,NOR
3,191.38476517025333,197.6235137335941,NOR
4,128.98795271314955,124.0266955036296,HAM
5,262.1715065361004,259.11311167916136,HAM
6,294.80216938919796,294.67396725606545,HAM
7,306.8616796313398,308.6297183759987,NOR
8,266.63794228220604,276.7976025562967,NOR
9,145.15326818512068,145.3061393478977,NOR
10,218.71538198997146,211.62350001351479,HAM
11,217.69430061982405,214.2465339290381,HAM
12,194.001836710969,190.79636300670634,HAM
13,260.3729807289932,263.22341454120067,NOR
14,298.4697308407786,299.71195852033037,NOR
15,306.70621028317464,310.048,NOR
16,259.81788208672447,255.6008533087154,HAM
17,214.39703389148536,215.3775933649539,NOR
18,274.30778562081053,271.9605382289609,HAM
19,302.21061765234566,301.8443784380093,HAM
20,312.39520204924435,315.2403144626901,NOR
21,296.8620503689459,293.7037404921212,HAM
22,210.9440812608603,203.53277869314374,HAM
23,263.84277070341557,263.73978875652807,HAM
24,296.3341414177048,297.36074021326823,NOR
25,307.2166670222222,,HAM
