Minisector,VER,LEC,Fastest
0,306.5934525714286,306.010800133654,VER
1,240.69871278370442,235.612533927768,VER
2,130.5712686454144,130.3822482401562,VER
3,240.62635629241413,230.7074163967046,VER
4,196.22387466884354,191.43337880242703,VER
5,251.66877437963524,248.1387957045118,VER
6,232.27544132368254,229.3180761662669,VER
7,257.4978761127619,255.03142920619527,VER
8,292.2750154609778,290.03693842550723,VER
9,213.73824402827623,199.68015456797306,VER
10,199.6306631329225,205.35463740379686,LEC
11,276.55681004969694,273.47912653968257,VER
12,214.0681007520569,203.7454074568838,VER
13,247.4312142615873,247.0994188812494,VER
14,293.1183615370248,289.7158716653714,VER
15,309.663148277539,306.9751014391714,VER
16,311.8826057707231,306.3929296451008,VER
17,212.23886390263175,206.83249924968325,VER
18,260.24765645235885,268.16354784294066,LEC
19,299.7006625713823,294.9605798691511,VER
20,311.59098632623375,309.351985876715,VER
21,315.4003750933333,310.51416137969164,VER
22,152.7774522695506,151.10729671290747,VER
23,233.49005632257897,235.6845588092889,LEC
24,288.1401241411992,287.2812142141414,VER
