Minisector,HAM,LIN,Fastest
0,312.2283452111271,298.4295430523996,HAM
1,217.20994620069266,206.3799578845019,HAM
2,217.8733288509807,222.46491459809525,LIN
3,271.5708245222071,272.2452286695554,LIN
4,249.71775629205433,239.11640802317459,HAM
5,122.15322697755481,121.28787133452417,HAM
6,192.6666569281385,199.9042859795005,LIN
7,244.95706211208488,244.0280028509091,HAM
8,233.45165067542857,230.35809887573163,HAM
9,237.1896915817045,228.15566444607708,HAM
10,287.7554374285022,281.14753187479425,HAM
11,309.87578018526983,307.3425765663167,HAM
12,321.90751305869225,323.1323673204417,LIN
13,319.1726887958095,324.19854486942245,LIN
14,306.61118407314285,316.71026529680563,LIN
15,250.4609167585547,239.2643763477537,HAM
16,239.89093746742856,225.71269722999793,HAM
17,276.44305594074075,276.94263307033447,LIN
18,289.1883292725019,289.961954618759,LIN
19,151.24198799653018,152.33940835391698,LIN
20,195.36775354759726,190.5416707162661,HAM
21,177.09512128227067,175.30293090521792,HAM
22,134.63641753586165,124.93371898910183,HAM
23,230.23696496604487,232.461862979409,LIN
24,291.0896583569675,287.53537167243917,HAM
25,305.1000009142857,290.7833642666667,HAM
