Minisector,NOR,STR,Fastest
0,264.27644135970695,263.08880179753936,NOR
1,244.18858175712307,250.08205054358976,STR
2,167.60291205072036,166.75448883291213,NOR
3,251.13435095580863,249.31113540347383,NOR
4,269.93315209275363,267.54461804444446,NOR
5,193.8407328432719,197.01186558838168,STR
6,120.29632566102735,125.18331752700695,STR
7,161.24782085610232,153.90257701220304,NOR
8,261.24303562274224,255.92899856112533,NOR
9,178.6996564148148,191.9967450845149,STR
10,185.00999713304225,175.1138803762489,NOR
11,260.65981506212376,256.10924127685144,NOR
12,259.76689546238464,241.10219352382214,NOR
13,269.8463894193013,254.65590062017202,NOR
14,288.28420705335884,279.4012684400801,NOR
15,280.0421909333333,286.30929094765503,STR
16,145.8485474614646,150.46650319968984,STR
17,241.75308211805094,234.69771942184056,NOR
18,283.79900866711796,282.0587426289539,NOR
19,297.0922050684807,294.71819353706,NOR
20,301.89153195897563,299.16984132063493,NOR
21,305.9963938330438,302.43371209696966,NOR
22,152.30435814374152,167.0028970539339,STR
23,91.48471014605656,91.98140688925025,STR
24,179.43359220279456,174.7529981944084,NOR
25,244.9166656,247.12500053333332,STR
