Minisector,PER,VET,Fastest
0,240.16259036428633,237.36518489244176,PER
1,275.03391533968255,269.5606320022586,PER
2,179.461293781949,172.71869428896105,PER
3,154.3316004024932,149.2543465586438,PER
4,255.98807595743304,256.8154580843867,VET
5,274.2680750022777,259.8366291166532,PER
6,225.21335737574455,212.5772856879746,PER
7,198.06859061096935,191.56380618856056,PER
8,155.2619576749633,151.36395981848938,PER
9,213.13003543209788,203.26734685857232,PER
10,269.76191307421396,269.70650298110263,PER
11,118.10641864326472,125.43437971265726,VET
12,204.8023275344876,203.41561399307574,PER
13,271.6782489251196,265.201145804329,PER
14,292.58095203114925,285.6466475942091,PER
15,301.6691820349863,295.74636243386243,PER
16,243.02642872611833,256.06556662402824,VET
17,132.87971651456175,132.11346161574576,PER
18,132.13922726492422,129.0058732076929,PER
19,122.32188391159657,121.21519672616941,PER
20,222.68101877076646,220.60377381997753,PER
21,252.70806929743404,252.92082796365918,VET
22,234.68857822711288,234.13814961066666,PER
23,213.50041303699405,211.37586238109168,PER
24,139.10853775706755,129.55931218501837,PER
25,,209.03981677037038,VET
