Minisector,HAM,PER,Fastest
0,305.1188408115942,303.91072531131414,HAM
1,319.56746016507935,319.2569443047619,HAM
2,304.4002809039189,306.27193941471864,PER
3,113.35186919139737,107.7717581233795,HAM
4,218.6215279243774,221.3407248172043,PER
5,274.1647534064195,278.99412852678057,PER
6,219.92187606666667,226.97694634666667,PER
7,160.7866572244166,158.06042357614194,HAM
8,211.63651834129914,216.28715517542244,PER
9,223.98624208193226,225.13549734376357,PER
10,120.75238610948955,121.47026485586406,PER
11,225.6605025656518,226.6760052597701,PER
12,123.81291164832548,127.33592983927305,PER
13,223.04747678058638,222.75131667396562,HAM
14,277.1483331413333,276.97166640761907,HAM
15,217.63198367139853,226.81625129955555,PER
16,192.22276218476955,192.76785651809524,PER
17,253.581412429992,251.54675921382716,HAM
18,213.52285061505376,213.47916813333333,HAM
19,175.99780282375735,176.31751183352492,PER
20,264.0318779003315,260.82976321929453,HAM
21,281.09239132753623,281.47577641909703,PER
22,178.22276719032584,181.78796138595823,PER
23,213.00739173947773,214.06854744086021,PER
24,269.2376020403038,267.3574889951945,HAM
25,282.55,,HAM
