Minisector,PIA,RUS,Fastest
0,294.8250775026455,290.0980101213033,PIA
1,300.53209557909224,298.598423032381,PIA
2,161.56704089489176,162.68817001018962,RUS
3,223.30760598152125,221.43081765003177,PIA
4,279.1006942532628,273.3467633351111,PIA
5,309.90722572284466,293.6497708820915,PIA
6,318.2020384866558,303.93761554225955,PIA
7,163.84423013398268,176.11480982058336,RUS
8,134.52900933754086,130.14479068778613,PIA
9,254.70982395705627,249.6127011038384,PIA
10,298.37084754294443,285.01611791157893,PIA
11,307.4201771228466,293.2846965424762,PIA
12,142.92263831283287,137.61528524796964,PIA
13,190.7451268718198,194.41267257543976,RUS
14,256.60525914164805,256.6399654878912,RUS
15,201.21151215901244,194.32061890302714,PIA
16,218.096707776,218.27881160453836,RUS
17,219.2154326010158,209.8666979545679,PIA
18,248.26233265198096,240.02336152513115,PIA
19,279.65342496925285,273.72134330039216,PIA
20,295.2196364362696,290.9849535407408,PIA
21,260.40965069485713,268.47176767105117,RUS
22,222.38201312137,213.63636372502165,PIA
23,205.0471583040747,195.59685884639805,PIA
24,270.5443159563772,262.4729730379281,PIA
25,,280.2166656,RUS
