Minisector,LEC,MAG,Fastest
0,294.6144609882353,281.9173811657143,LEC
1,304.46672147004006,290.4846898519245,LEC
2,308.2348958,293.30753972486775,LEC
3,307.2552078666667,292.2379902117647,LEC
4,178.937051403562,179.5689500743776,MAG
5,214.1990354507915,214.89254669648034,MAG
6,245.00059474285712,246.183875168,MAG
7,269.48390194017657,265.7535715689223,LEC
8,267.60668197248674,265.2649129543859,LEC
9,168.2856085745579,169.17517504435398,MAG
10,237.31116162705453,231.64124284081632,LEC
11,136.60500120380954,139.27182407162925,MAG
12,221.52575967226153,222.2769317106188,MAG
13,196.38198046878043,202.845666176,MAG
14,216.65417212253917,212.6083774286643,LEC
15,254.96854197333332,252.6655074406015,LEC
16,262.5810319863918,261.49494745028466,LEC
17,287.8443271798319,279.7399505568627,LEC
18,137.41762284817779,140.72703924984063,MAG
19,160.21657031766514,159.5776675784946,LEC
20,148.3439726440336,145.3670851137255,LEC
21,169.1264521035165,174.9509708399085,MAG
22,118.71407790919157,117.34583459047619,LEC
23,226.31646659047618,212.40325112923134,LEC
24,272.3124052531328,260.7630582202244,LEC
25,,275.5208341333333,MAG
