Minisector,SAI,PER,Fastest
0,260.1430043954122,262.4482090806734,PER
1,135.47697307709294,137.79127154127156,PER
2,270.79884798657594,265.7259196943017,SAI
3,308.8304657519367,306.4120999832381,SAI
4,309.40908586666666,306.3172004598353,SAI
5,317.81708572952215,314.65152259482096,SAI
6,322.04634195670997,317.45418576980745,SAI
7,324.71407531467054,317.10282118888887,SAI
8,196.87861640019366,208.65333461133076,PER
9,205.33775070632225,206.56086207949144,PER
10,186.21307501990228,198.27354983883075,PER
11,180.07889075137675,182.09871812258854,PER
12,256.5182839658456,255.13994223639875,SAI
13,285.267334814602,285.68676223887127,PER
14,287.5152698746921,286.30654711411097,SAI
15,271.82947614150675,283.85641182365595,PER
16,172.69564999284268,188.47514179905315,PER
17,194.04297676577778,199.53570022550463,PER
18,251.93328879246897,243.27798951769302,SAI
19,292.06587280471905,288.7153158148834,SAI
20,308.76042031002805,304.1355329575294,SAI
21,315.0730984552317,310.7845384566154,SAI
22,313.80279441015267,308.2273158690763,SAI
23,265.5036429171446,272.62717727030304,PER
24,113.14544927104522,124.77965980431348,PER
25,,234.97999872,PER
