Minisector,PER,ALB,Fastest
0,292.87877951238096,284.7448509409524,PER
1,303.21833919655245,291.50520837333335,PER
2,306.35379073283207,294.23289465263156,PER
3,301.1798254035088,289.755120152381,PER
4,172.6620399388529,174.38385482857143,ALB
5,204.71963344780576,206.451152807797,ALB
6,227.6174047025845,225.9252742681319,PER
7,263.5388252121212,259.3834758289083,PER
8,262.7930960429799,260.0041156240166,PER
9,161.11457683620884,164.4400029767105,ALB
10,228.81482235581993,225.86989302552382,PER
11,129.11472945736432,137.9264967168182,ALB
12,207.30920904156062,221.98649877333332,ALB
13,186.59347223576944,200.54554291628062,ALB
14,216.4248960066364,206.80607872653061,PER
15,237.0309774031746,239.78746380961476,ALB
16,259.43868672126297,252.12670414545454,PER
17,285.1873016888889,276.5842776188746,PER
18,122.82835715526305,150.722855588957,ALB
19,157.36477390898185,151.96442364233923,PER
20,147.13935784356363,143.116905331939,PER
21,156.98719512991474,170.7247108490233,ALB
22,115.8563365524394,114.73138736390035,PER
23,229.90340413709185,212.6731466271605,PER
24,272.4539798201592,261.35240162647546,PER
25,284.5625002666667,279.5583330133333,PER
