Minisector,OCO,KVY,Fastest
0,273.66622530934745,275.86728559483686,KVY
1,291.9568096082822,294.2444477127281,KVY
2,288.64678577980953,289.70301994624845,KVY
3,186.70110558428684,179.35244975990733,OCO
4,125.89678585098184,128.00854487601248,KVY
5,237.41207771809522,239.43858554718946,KVY
6,279.44366695630026,280.9157941181609,KVY
7,286.5961540923077,284.96968864468863,OCO
8,180.68027803090297,171.87567435556988,OCO
9,144.749960338425,142.31827741138483,OCO
10,248.66666613333334,251.68025921124072,KVY
11,281.5494806954764,284.84965430138277,KVY
12,288.2841118769231,294.50599995733336,KVY
13,272.4458331259259,281.4969522529524,KVY
14,294.88268825396824,297.6363997866667,KVY
15,295.42983362438093,301.1100714710083,KVY
16,250.76611312446636,250.9011847349111,KVY
17,228.8664180144451,222.9062445522036,OCO
18,279.10226155885715,280.68580942216516,KVY
19,300.66149994666665,302.4680445848695,KVY
20,301.59383120592594,307.1661495784679,KVY
21,229.80572228325653,219.89554845172012,OCO
22,253.99088582160226,256.62241327816093,KVY
23,138.86004021762233,136.5954591931624,OCO
24,213.58416490323177,214.33655474766965,KVY
