Minisector,PER,RUS,Fastest
0,240.16259036428633,242.6475984644217,RUS
1,275.03391533968255,271.7682535908358,PER
2,179.461293781949,177.92496771008368,PER
3,154.3316004024932,153.6044573589817,PER
4,255.98807595743304,256.7857955522078,RUS
5,274.2680750022777,268.8202632489337,PER
6,225.21335737574455,228.71498244962962,RUS
7,198.06859061096935,209.77570932623092,RUS
8,155.2619576749633,161.76471016643782,RUS
9,213.13003543209788,213.38587105713836,RUS
10,269.76191307421396,272.2511966672811,RUS
11,118.10641864326472,122.91546365728486,RUS
12,204.8023275344876,204.39332262647335,PER
13,271.6782489251196,268.22564297447616,PER
14,292.58095203114925,289.3356402006349,PER
15,301.6691820349863,298.2607142995671,PER
16,243.02642872611833,246.37727372200635,RUS
17,132.87971651456175,134.41002196941733,RUS
18,132.13922726492422,135.97978108624196,RUS
19,122.32188391159657,122.53750052613772,RUS
20,222.68101877076646,224.7002687288889,RUS
21,252.70806929743404,256.78482416130436,RUS
22,234.68857822711288,239.7641147678698,RUS
23,213.50041303699405,217.1032795365667,RUS
24,139.10853775706755,137.24602562245533,PER
25,,208.46481682962963,RUS
