Minisector,VER,RIC,Fastest
0,288.0461948355019,284.11583521737214,VER
1,291.92128662,288.41541498311113,VER
2,173.01803707044368,157.2134997095164,VER
3,221.4721544909804,220.65885996576898,VER
4,270.095889158394,269.30313464701754,VER
5,292.67130199997166,289.5833957131628,VER
6,302.9562242742857,295.32501591425427,VER
7,180.95261278056884,176.08788657827662,VER
8,124.3202697691003,125.68346538089979,RIC
9,251.60553722893317,245.55079336227968,VER
10,293.57863856839987,282.17855804444446,VER
11,307.4732043342857,293.56580823703706,VER
12,148.57492820924256,139.9530171346531,VER
13,180.58897741721262,187.1789307998753,RIC
14,255.95735056427134,254.7122013637385,VER
15,209.0753066569697,197.52582928699627,VER
16,216.17645328974197,222.790763847706,RIC
17,219.30134376699897,201.6929205294686,VER
18,249.6107063573333,237.6796350555066,VER
19,278.4614032673103,274.3181640577984,VER
20,295.7082138379832,290.7447828377778,VER
21,270.1922222114486,253.51459596926986,VER
22,229.0617370926089,215.91960724768953,VER
23,208.76507662268398,196.11147369227083,VER
24,263.67193472329143,258.6934570047224,VER
25,280.1625,,VER
