Minisector,ANT,BEA,Fastest
0,310.3627388773109,324.3512756825397,BEA
1,248.57167779381908,225.875805985974,ANT
2,131.4920157072132,130.0266966138273,ANT
3,214.05998433546785,216.70515164223605,BEA
4,263.5742564028988,261.1423311632567,ANT
5,290.1008911313837,288.6562663335845,ANT
6,305.51770563287175,304.52343175887955,ANT
7,294.0038889382067,268.4690041596761,ANT
8,177.11559730378377,174.08035633085197,ANT
9,235.63396032059487,242.1722357664413,BEA
10,272.0873265780058,273.90042713766235,BEA
11,268.78354600144775,269.0597646608354,BEA
12,208.8095640081001,203.22678340902692,ANT
13,126.6345584499654,120.94504767352304,ANT
14,119.33873400753912,121.58902564955211,BEA
15,163.00089896837926,163.35725282907498,BEA
16,121.00503742222303,122.00247756188914,BEA
17,224.23446998890125,230.3563834115389,BEA
18,188.0511830789156,178.8466630247619,ANT
19,156.05649385027917,159.36430274553044,BEA
20,241.51906792703502,244.84204884723246,BEA
21,273.2269823858628,275.83330992887335,BEA
22,291.43256190431373,295.13450609333336,BEA
23,301.01812498,313.5616426109904,BEA
24,307.02241589270784,323.8158097188571,BEA
